Benchmark,Successful,Time Taken,Program Found,Program Length
src\main\resources\OtherMIBenchmarks\diff.sl,true,1,(ite (>= x y) (- x y) (- y x)),30
src\main\resources\OtherMIBenchmarks\distinctInterchange.sl,true,14,(ite (let ((_let_1 (* (- 1) x2))) (let ((_let_2 (+ 3 x1 _let_1 x3))) (let ((_let_3 (* (- 1) x1))) (let ((_let_4 (+ 3 _let_3 x2 x3))) (let ((_let_5 (+ x1 _let_1))) (let ((_let_6 (>= _let_5 0))) (let ((_let_7 (ite _let_6 _let_4 _let_2))) (let ((_let_8 (+ 1 x1 _let_1 x3))) (let ((_let_9 (+ 1 _let_3 x2 x3))) (let ((_let_10 (ite _let_6 _let_9 _let_8))) (let ((_let_11 (+ x4 (* (- 1) x5)))) (let ((_let_12 (>= _let_11 0))) (let ((_let_13 (ite _let_12 _let_10 _let_7))) (let ((_let_14 (* (- 1) x3))) (let ((_let_15 (* (- 1) _let_13))) (let ((_let_16 (= x1 (+ 1 x2 x3 _let_15)))) (let ((_let_17 (= x1 (+ (- 1) x2 _let_14 _let_13)))) (let ((_let_18 (>= (+ a1 (* (- 1) a2)) 0))) (let ((_let_19 (+ 3 x1 x2 _let_14))) (let ((_let_20 (+ x2 _let_14))) (let ((_let_21 (>= _let_20 1))) (let ((_let_22 (+ 1 x1 x2 _let_14))) (let ((_let_23 (+ x1 _let_14))) (let ((_let_24 (>= _let_23 1))) (let ((_let_25 (>= _let_20 0))) (let ((_let_26 (>= _let_23 0))) (let ((_let_27 (>= _let_5 1))) (and (= _let_13 (ite _let_12 (ite _let_27 _let_9 _let_8) (ite _let_27 _let_4 _let_2))) (or (and _let_18 (= _let_13 (ite _let_12 (ite _let_26 _let_9 _let_22) (ite _let_26 _let_4 _let_19))) (= _let_13 (ite _let_12 (ite _let_25 _let_8 _let_22) (ite _let_25 _let_2 _let_19))) (= _let_13 (ite _let_12 (ite _let_24 _let_9 _let_22) (ite _let_24 _let_4 _let_19))) (= _let_13 (ite _let_12 (ite _let_21 _let_8 _let_22) (ite _let_21 _let_2 _let_19))) (or _let_17 (= x1 (+ (- 1) _let_1 x3 _let_13)) _let_16)) (and (not _let_18) (or (= x4 x5) (not (= _let_13 (ite (>= _let_11 1) _let_7 _let_10)))) (or _let_17 _let_16 (= x1 (+ 3 x2 x3 _let_15)) (= x1 (+ (- 3) x2 _let_14 _let_13))))))))))))))))))))))))))))))))) (ite (>= var6; var7;) (ite (>= var3; var4;) (+ 1 (- var4; (- var3; var5;))) (+ 1 (- var3; (- var4; var5;)))) (ite (>= var3; var4;) (+ 3 (- var4; (- var3; var5;))) (+ 3 (- var3; (- var4; var5;)))))  (ite (and (>= var3; var4;) (>= var4; var5;)) (+ 1 (- var4; (- var3; var5;))) (ite (and (>= var3; var5;) (>= var5; var4;)) (+ 1 (- var5; (- var3; var4;))) (ite (and (>= var5; var3;) (>= var3; var4;)) (+ 1 (- var3; (- var5; var4;))) (ite (and (>= var4; var3;) (>= var3; var5;)) (+ 1 (- var3; (- var4; var5;))) (ite (and (>= var4; var5;) (>= var5; var3;)) (+ 1 (- var5; (- var4; var3;))) (+ 1 (- var4; (- var5; var3;))))))))),2287
src\main\resources\OtherMIBenchmarks\distinctOne.sl,true,11,(ite (let ((_let_1 (* (- 1) x3))) (let ((_let_2 (+ x1 _let_1))) (let ((_let_3 (>= _let_2 0))) (let ((_let_4 (not _let_3))) (let ((_let_5 (+ x1 (* (- 1) x2)))) (let ((_let_6 (>= _let_5 1))) (let ((_let_7 (+ x2 _let_1))) (let ((_let_8 (>= _let_7 1))) (let ((_let_9 (>= _let_2 1))) (let ((_let_10 (= x1 x2))) (let ((_let_11 (= x1 x3))) (let ((_let_12 (= x2 x3))) (let ((_let_13 (>= (+ a1 (* (- 1) a2)) 0))) (let ((_let_14 (>= _let_7 0))) (let ((_let_15 (>= _let_5 0))) (let ((_let_16 (not _let_14))) (let ((_let_17 (not _let_15))) (let ((_let_18 (not _let_9))) (let ((_let_19 (not _let_6))) (let ((_let_20 (not _let_8))) (let ((_let_21 (and _let_20 _let_19))) (let ((_let_22 (and _let_19 _let_3))) (let ((_let_23 (and _let_14 _let_18))) (let ((_let_24 (and _let_15 _let_14))) (let ((_let_25 (and _let_15 _let_18))) (let ((_let_26 (and _let_20 _let_3))) (let ((_let_27 (ite _let_24 1 (ite _let_23 2 (ite _let_25 3 (ite _let_21 4 (ite _let_26 5 6))))))) (or (and _let_13 (or _let_12 _let_11 _let_10 (and (not (= _let_27 (ite _let_26 1 (ite _let_21 2 (ite _let_22 3 (ite _let_23 4 (ite _let_24 5 6))))))) (not (= _let_27 (ite _let_23 1 (ite _let_25 2 (ite _let_24 3 (ite _let_26 4 (ite _let_22 5 6))))))) (not (= _let_27 (ite _let_22 1 (ite _let_26 2 (ite _let_21 3 (ite _let_25 4 (ite _let_23 5 6))))))) (not (= _let_27 (ite _let_21 1 (ite _let_22 2 (ite _let_26 3 (ite _let_24 4 (ite _let_25 5 6))))))) (not (= _let_27 (ite _let_25 1 (ite _let_24 2 (ite _let_23 3 (ite _let_22 4 (ite _let_21 5 6))))))))) (or (and _let_14 _let_18 _let_17) (and _let_15 (or _let_14 _let_18)) (and (or _let_17 _let_16) (or _let_9 (and _let_17 _let_16))))) (and _let_15 _let_14 (not _let_13) (or _let_12 _let_11 _let_10 (and _let_9 (or _let_6 _let_4) (or _let_8 (and _let_6 _let_4))))))))))))))))))))))))))))))))) (ite (and (>= var3; var4;) (>= var4; var5;)) (+ 1 0) (ite (and (>= x2 x3) (>= x3 x1)) (+ 1 1) (ite (and (>= x3 x1) (>= x1 x2)) (+ 1 2) (ite (and (>= x3 x2) (>= x2 x1)) (+ 1 3) (ite (and (>= x1 x3) (>= x3 x2)) (+ 1 4) (+ 1 5))))))  (ite (and (>= var3; var4;) (>= var4; var5;)) (+ 1 0) (ite (and (>= x2 x3) (>= x3 x1)) 11 (ite (and (>= x3 x1) (>= x1 x2)) (- 11 1) (ite (and (>= x3 x2) (>= x2 x1)) (+ 1 6) (ite (and (>= x1 x3) (>= x3 x2)) (+ 1 7) (+ 1 8))))))),2247
src\main\resources\OtherMIBenchmarks\distincts.sl,true,10,(ite (let ((_let_1 (* (- 1) x3))) (let ((_let_2 (+ x2 _let_1))) (let ((_let_3 (>= _let_2 0))) (let ((_let_4 (not _let_3))) (let ((_let_5 (+ x1 (* (- 1) x2)))) (let ((_let_6 (>= _let_5 0))) (let ((_let_7 (not _let_6))) (let ((_let_8 (+ x1 _let_1))) (let ((_let_9 (>= _let_8 1))) (let ((_let_10 (not _let_9))) (let ((_let_11 (not (>= _let_5 1)))) (let ((_let_12 (not (>= _let_2 1)))) (let ((_let_13 (and _let_12 _let_11))) (let ((_let_14 (>= _let_8 0))) (let ((_let_15 (and _let_11 _let_14))) (let ((_let_16 (and _let_3 _let_10))) (let ((_let_17 (and _let_6 _let_3))) (let ((_let_18 (and _let_6 _let_10))) (let ((_let_19 (and _let_12 _let_14))) (let ((_let_20 (ite _let_17 1 (ite _let_16 2 (ite _let_18 3 (ite _let_13 4 (ite _let_19 5 6))))))) (and (>= (+ a1 (* (- 1) a2)) 0) (or (= x2 x3) (= x1 x3) (= x1 x2) (and (not (= _let_20 (ite _let_19 1 (ite _let_13 2 (ite _let_15 3 (ite _let_16 4 (ite _let_17 5 6))))))) (not (= _let_20 (ite _let_16 1 (ite _let_18 2 (ite _let_17 3 (ite _let_19 4 (ite _let_15 5 6))))))) (not (= _let_20 (ite _let_15 1 (ite _let_19 2 (ite _let_13 3 (ite _let_18 4 (ite _let_16 5 6))))))) (not (= _let_20 (ite _let_13 1 (ite _let_15 2 (ite _let_19 3 (ite _let_17 4 (ite _let_18 5 6))))))) (not (= _let_20 (ite _let_18 1 (ite _let_17 2 (ite _let_16 3 (ite _let_15 4 (ite _let_13 5 6))))))))) (or (and _let_3 _let_10 _let_7) (and _let_6 (or _let_3 _let_10)) (and (or _let_7 _let_4) (or _let_9 (and _let_7 _let_4))))))))))))))))))))))))) (ite (and (>= var3; var4;) (>= var4; var5;)) (+ 1 0) (ite (and (>= x2 x3) (>= x3 x1)) (+ 1 1) (ite (and (>= x3 x1) (>= x1 x2)) (+ 1 2) (ite (and (>= x3 x2) (>= x2 x1)) (+ 1 3) (ite (and (>= x1 x3) (>= x3 x2)) (+ 1 4) (+ 1 5))))))  (ite (and (>= var3; var4;) (>= var4; var5;)) 11 (ite (and (>= x2 x3) (>= x3 x1)) (+ 1 11) (ite (and (>= x3 x1) (>= x1 x2)) (- 11 1) (ite (and (>= x3 x2) (>= x2 x1)) (+ 1 6) (ite (and (>= x1 x3) (>= x3 x2)) (+ 1 7) (+ 1 8))))))),1917
src\main\resources\OtherMIBenchmarks\eqExampleEasy.sl,true,2,(ite (let ((_let_1 (* 2 x2))) (let ((_let_2 (* 3 x1))) (let ((_let_3 (+ _let_2 _let_1 x3))) (let ((_let_4 (* 2 x3))) (let ((_let_5 (+ _let_2 x2 _let_4))) (let ((_let_6 (* (- 1) x3))) (let ((_let_7 (+ x2 _let_6))) (let ((_let_8 (* 3 x3))) (let ((_let_9 (* 2 x1))) (let ((_let_10 (+ _let_9 x2 _let_8))) (let ((_let_11 (+ x1 _let_1 _let_8))) (let ((_let_12 (+ x1 (* (- 1) x2)))) (let ((_let_13 (ite (>= _let_12 0) _let_11 _let_10))) (let ((_let_14 (* 3 x2))) (let ((_let_15 (+ _let_9 _let_14 x3))) (let ((_let_16 (+ x1 _let_14 _let_4))) (let ((_let_17 (+ x1 _let_6))) (and (= _let_13 (ite (>= _let_12 1) _let_11 _let_10)) (or (not (>= (+ a1 (* (- 1) a2)) 0)) (and (= _let_13 (ite (>= _let_17 0) _let_16 _let_15)) (= _let_13 (ite (>= _let_7 0) _let_5 _let_3)) (= _let_13 (ite (>= _let_17 1) _let_16 _let_15)) (= _let_13 (ite (>= _let_7 1) _let_5 _let_3)))))))))))))))))))))) (ite (>= var3; var4;) (+ var3; (+ (* 2 var4;) (* 3 var5;))) (+ var4; (+ (* 2 var3;) (* 3 var5;))))  (ite (and (>= var3; var4;) (>= var4; var5;)) (+ var5; (+ (* 2 var4;) (* 3 var3;))) (ite (and (>= var5; var3;) (>= var3; var4;)) (+ var4; (+ (* 2 var3;) (* 3 var5;))) (ite (and (>= var4; var3;) (>= var3; var5;)) (+ var5; (+ (* 2 var3;) (* 3 var4;))) (ite (and (>= var4; var5;) (>= var5; var3;)) (+ var3; (+ (* 2 var5;) (* 3 var4;))) (ite (and (>= var5; var4;) (>= var4; var3;)) (+ var3; (+ (* 2 var4;) (* 3 var5;))) (+ var4; (+ (* 2 var5;) (* 3 var3;))))))))),1429
src\main\resources\OtherMIBenchmarks\eqSub.sl,true,1,(ite (let ((_let_1 (+ (* (- 1) x1) x2 x3))) (let ((_let_2 (* (- 1) x3))) (let ((_let_3 (+ x1 x2 _let_2))) (let ((_let_4 (* (- 1) x2))) (let ((_let_5 (+ x1 _let_4 x3))) (let ((_let_6 (+ x1 _let_2))) (let ((_let_7 (>= _let_6 0))) (let ((_let_8 (+ x1 _let_4))) (let ((_let_9 (>= _let_8 1))) (let ((_let_10 (not _let_9))) (let ((_let_11 (and _let_10 _let_7))) (let ((_let_12 (>= _let_8 0))) (let ((_let_13 (not _let_12))) (let ((_let_14 (+ x2 _let_2))) (let ((_let_15 (>= _let_14 0))) (let ((_let_16 (not _let_15))) (let ((_let_17 (not _let_7))) (let ((_let_18 (>= _let_14 1))) (let ((_let_19 (and (or _let_18 _let_17) (or _let_16 _let_13)))) (let ((_let_20 (>= _let_6 1))) (let ((_let_21 (not _let_20))) (let ((_let_22 (and _let_15 _let_21))) (let ((_let_23 (and _let_12 _let_21))) (let ((_let_24 (not _let_18))) (let ((_let_25 (and _let_10 _let_24))) (let ((_let_26 (ite _let_25 _let_3 _let_1))) (let ((_let_27 (and (or _let_9 _let_17) (or _let_20 _let_16)))) (let ((_let_28 (ite _let_27 _let_26 _let_5))) (let ((_let_29 (ite _let_23 _let_3 _let_28))) (let ((_let_30 (and _let_12 _let_15))) (let ((_let_31 (ite _let_30 _let_1 _let_29))) (let ((_let_32 (and _let_7 _let_24))) (let ((_let_33 (and (or _let_20 _let_13) (or _let_9 _let_18)))) (let ((_let_34 (>= (+ a1 (* (- 1) a2)) 0))) (and (= _let_31 (ite _let_11 _let_5 (ite _let_25 _let_3 (ite _let_19 (ite _let_23 _let_3 _let_5) _let_1)))) (or (and (not _let_34) (or _let_30 (= x1 (+ x2 _let_2 _let_29)) (= x1 (+ x2 x3 (* (- 1) _let_29))))) (and _let_34 (= _let_31 (ite _let_32 _let_1 (ite _let_11 _let_5 (ite _let_33 (ite _let_22 _let_5 _let_1) _let_3)))) (= _let_31 (ite _let_22 _let_5 (ite _let_30 _let_1 (ite _let_33 (ite _let_32 _let_1 _let_5) _let_3)))) (= _let_31 (ite _let_25 _let_3 (ite _let_32 _let_1 (ite _let_27 (ite _let_30 _let_1 _let_3) _let_5)))) (or _let_11 _let_22 (= x1 (+ x2 x3 (* (- 1) _let_28))) (= x1 (+ _let_4 x3 _let_28)) (= x1 (+ x2 _let_2 _let_26)) (and _let_12 (or _let_15 _let_21))) (= _let_31 (ite _let_23 _let_3 (ite _let_22 _let_5 (ite _let_19 (ite _let_11 _let_5 _let_3) _let_1))))))))))))))))))))))))))))))))))))))))) (ite (and (>= var3; var4;) (>= var4; var5;)) (- var5; (- var3; var4;)) (ite (and (>= var5; var3;) (>= var3; var4;)) (- var4; (- var5; var3;)) (ite (and (>= var4; var3;) (>= var3; var5;)) (- var5; (- var4; var3;)) (ite (and (>= var4; var5;) (>= var5; var3;)) (- var3; (- var4; var5;)) (ite (and (>= var5; var4;) (>= var4; var3;)) (- var3; (- var5; var4;)) (- var4; (- var3; var5;)))))))  (ite (>= var3; var4;) (- var5; (- var3; var4;)) (- var5; (- var4; var3;)))),2563
src\main\resources\OtherMIBenchmarks\fullEqExample.sl,true,4,(ite (let ((_let_1 (* 2 x3))) (let ((_let_2 (* 3 x1))) (let ((_let_3 (+ _let_2 x2 _let_1))) (let ((_let_4 (* 2 x2))) (let ((_let_5 (+ _let_2 _let_4 x3))) (let ((_let_6 (* (- 1) x3))) (let ((_let_7 (+ x2 _let_6))) (let ((_let_8 (* 3 x3))) (let ((_let_9 (+ x1 _let_4 _let_8))) (let ((_let_10 (* 2 x1))) (let ((_let_11 (+ _let_10 x2 _let_8))) (let ((_let_12 (+ x1 (* (- 1) x2)))) (let ((_let_13 (>= _let_12 0))) (let ((_let_14 (ite _let_13 _let_11 _let_9))) (let ((_let_15 (* 3 x2))) (let ((_let_16 (+ x1 _let_15 _let_1))) (let ((_let_17 (+ _let_10 _let_15 x3))) (let ((_let_18 (+ x1 _let_6))) (let ((_let_19 (>= (+ a1 (* (- 1) a2)) 0))) (let ((_let_20 (= _let_14 (ite (>= _let_12 1) _let_11 _let_9)))) (let ((_let_21 (>= (+ a1 (* (- 1) a3)) 0))) (or (and _let_19 (or (and _let_21 (or _let_13 (= x1 x2))) (and (not _let_21) _let_20))) (and _let_20 (not _let_19) (= _let_14 (ite (>= _let_18 0) _let_17 _let_16)) (= _let_14 (ite (>= _let_7 0) _let_5 _let_3)) (= _let_14 (ite (>= _let_18 1) _let_17 _let_16)) (= _let_14 (ite (>= _let_7 1) _let_5 _let_3))))))))))))))))))))))))) (ite (>= var4; var5;) (+ var5; (+ (* 2 var4;) (* 3 var6;))) (+ var4; (+ (* 2 var5;) (* 3 var6;)))) (ite (let ((_let_1 (>= (+ a1 (* (- 1) a2)) 0))) (or (and _let_1 (or (>= (+ a1 (* (- 1) a3)) 0) (= x1 x2))) (and (not _let_1) (= x2 x3) (= x1 x3)))) (+ var5; (+ (* 2 var4;) (* 3 var6;)))  (ite (and (>= var4; var5;) (>= var5; var6;)) (+ var6; (+ (* 2 var5;) (* 3 var4;))) (ite (and (>= var4; var6;) (>= var6; var5;)) (+ var5; (+ (* 2 var6;) (* 3 var4;))) (ite (and (>= var5; var4;) (>= var4; var6;)) (+ var6; (+ (* 2 var4;) (* 3 var5;))) (ite (and (>= var6; var4;) (>= var4; var5;)) (+ var5; (+ (* 2 var4;) (* 3 var6;))) (ite (and (>= var5; var6;) (>= var6; var4;)) (+ var4; (+ (* 2 var6;) (* 3 var5;))) (+ var4; (+ (* 2 var5;) (* 3 var6;)))))))))),1817
src\main\resources\OtherMIBenchmarks\inequalEqExample.sl,true,1,(ite (let ((_let_1 (* 2 x3))) (let ((_let_2 (* 3 x1))) (let ((_let_3 (+ _let_2 x2 _let_1))) (let ((_let_4 (* 3 x3))) (let ((_let_5 (* 2 x2))) (let ((_let_6 (+ x1 _let_5 _let_4))) (let ((_let_7 (* (- 1) x3))) (let ((_let_8 (+ x2 _let_7))) (let ((_let_9 (not (>= _let_8 1)))) (let ((_let_10 (+ x1 (* (- 1) x2)))) (let ((_let_11 (not (>= _let_10 1)))) (let ((_let_12 (and _let_11 _let_9))) (let ((_let_13 (* 3 x2))) (let ((_let_14 (+ x1 _let_13 _let_1))) (let ((_let_15 (+ x1 _let_7))) (let ((_let_16 (not (>= _let_15 1)))) (let ((_let_17 (>= _let_8 0))) (let ((_let_18 (and _let_17 _let_16))) (let ((_let_19 (* 2 x1))) (let ((_let_20 (+ _let_19 _let_13 x3))) (let ((_let_21 (>= _let_15 0))) (let ((_let_22 (and _let_11 _let_21))) (let ((_let_23 (+ _let_19 x2 _let_4))) (let ((_let_24 (>= _let_10 0))) (let ((_let_25 (and _let_24 _let_16))) (let ((_let_26 (+ _let_2 _let_5 x3))) (let ((_let_27 (and _let_24 _let_17))) (let ((_let_28 (ite _let_27 _let_26 (ite _let_25 _let_23 (ite _let_22 _let_20 (ite _let_18 _let_14 (ite _let_12 _let_6 _let_3))))))) (let ((_let_29 (* (- 3) x3))) (let ((_let_30 (and _let_21 _let_9))) (let ((_let_31 (ite _let_22 _let_20 (ite _let_12 _let_6 (ite _let_27 _let_26 (ite _let_30 _let_3 (ite _let_25 _let_23 _let_14))))))) (let ((_let_32 (>= (+ a1 (* (- 1) a2)) 0))) (or (and _let_32 (= _let_28 (ite _let_30 _let_3 (ite _let_22 _let_20 (ite _let_25 _let_23 (ite _let_12 _let_6 (ite _let_18 _let_14 _let_26)))))) (= _let_28 _let_31) (= _let_28 (ite _let_18 _let_14 (ite _let_27 _let_26 (ite _let_12 _let_6 (ite _let_25 _let_23 (ite _let_30 _let_3 _let_20)))))) (= _let_28 (ite _let_25 _let_23 (ite _let_18 _let_14 (ite _let_30 _let_3 (ite _let_27 _let_26 (ite _let_22 _let_20 _let_6)))))) (= _let_28 (ite _let_12 _let_6 (ite _let_30 _let_3 (ite _let_18 _let_14 (ite _let_22 _let_20 (ite _let_27 _let_26 _let_23))))))) (and (not _let_32) (>= (+ _let_28 (* (- 1) _let_31)) 0) (or (= x2 (+ (* (- 2) x1) _let_29 _let_28)) (= x1 (+ (* (- 2) x2) _let_29 _let_28))))))))))))))))))))))))))))))))))))) (ite (and (>= var3; var4;) (>= var4; var5;)) (+ var5; (+ (* 2 var4;) (* 3 var3;))) (ite (and (>= var5; var3;) (>= var3; var4;)) (+ var4; (+ (* 2 var3;) (* 3 var5;))) (ite (and (>= var4; var3;) (>= var3; var5;)) (+ var5; (+ (* 2 var3;) (* 3 var4;))) (ite (and (>= var4; var5;) (>= var5; var3;)) (+ var3; (+ (* 2 var5;) (* 3 var4;))) (ite (and (>= var5; var4;) (>= var4; var3;)) (+ var3; (+ (* 2 var4;) (* 3 var5;))) (+ var4; (+ (* 2 var5;) (* 3 var3;)))))))) (ite (let ((_let_1 (>= (+ a1 (* (- 1) a2)) 0))) (or (and (not _let_1) (not (>= (+ x1 (* (- 1) x2)) 1))) (and _let_1 (= x2 x3) (= x1 x3)))) (+ var3; (+ (* 2 var4;) (* 3 var5;)))  (+ var4; (+ (* 2 var3;) (* 3 var5;))))),2693
src\main\resources\OtherMIBenchmarks\inequalEqExample2.sl,true,1,(ite (let ((_let_1 (* 2 x3))) (let ((_let_2 (* 3 x1))) (let ((_let_3 (+ _let_2 x2 _let_1))) (let ((_let_4 (* 3 x3))) (let ((_let_5 (* 2 x2))) (let ((_let_6 (+ x1 _let_5 _let_4))) (let ((_let_7 (* (- 1) x3))) (let ((_let_8 (+ x2 _let_7))) (let ((_let_9 (not (>= _let_8 1)))) (let ((_let_10 (+ x1 (* (- 1) x2)))) (let ((_let_11 (not (>= _let_10 1)))) (let ((_let_12 (and _let_11 _let_9))) (let ((_let_13 (* 3 x2))) (let ((_let_14 (+ x1 _let_13 _let_1))) (let ((_let_15 (+ x1 _let_7))) (let ((_let_16 (not (>= _let_15 1)))) (let ((_let_17 (>= _let_8 0))) (let ((_let_18 (and _let_17 _let_16))) (let ((_let_19 (* 2 x1))) (let ((_let_20 (+ _let_19 _let_13 x3))) (let ((_let_21 (>= _let_15 0))) (let ((_let_22 (and _let_11 _let_21))) (let ((_let_23 (+ _let_19 x2 _let_4))) (let ((_let_24 (>= _let_10 0))) (let ((_let_25 (and _let_24 _let_16))) (let ((_let_26 (+ _let_2 _let_5 x3))) (let ((_let_27 (and _let_24 _let_17))) (let ((_let_28 (ite _let_27 _let_26 (ite _let_25 _let_23 (ite _let_22 _let_20 (ite _let_18 _let_14 (ite _let_12 _let_6 _let_3))))))) (let ((_let_29 (* (- 3) x3))) (let ((_let_30 (and _let_21 _let_9))) (let ((_let_31 (ite _let_22 _let_20 (ite _let_12 _let_6 (ite _let_27 _let_26 (ite _let_30 _let_3 (ite _let_25 _let_23 _let_14))))))) (let ((_let_32 (>= (+ a1 (* (- 1) a2)) 0))) (or (and _let_32 (= _let_28 (ite _let_30 _let_3 (ite _let_22 _let_20 (ite _let_25 _let_23 (ite _let_12 _let_6 (ite _let_18 _let_14 _let_26)))))) (= _let_28 _let_31) (= _let_28 (ite _let_18 _let_14 (ite _let_27 _let_26 (ite _let_12 _let_6 (ite _let_25 _let_23 (ite _let_30 _let_3 _let_20)))))) (= _let_28 (ite _let_25 _let_23 (ite _let_18 _let_14 (ite _let_30 _let_3 (ite _let_27 _let_26 (ite _let_22 _let_20 _let_6)))))) (= _let_28 (ite _let_12 _let_6 (ite _let_30 _let_3 (ite _let_18 _let_14 (ite _let_22 _let_20 (ite _let_27 _let_26 _let_23))))))) (and (not _let_32) (not (>= (+ _let_28 (* (- 1) _let_31)) 1)) (or (= x2 (+ (* (- 2) x1) _let_29 _let_28)) (= x1 (+ (* (- 2) x2) _let_29 _let_28))))))))))))))))))))))))))))))))))))) (ite (and (>= var3; var4;) (>= var4; var5;)) (+ var5; (+ (* 2 var4;) (* 3 var3;))) (ite (and (>= var5; var3;) (>= var3; var4;)) (+ var4; (+ (* 2 var3;) (* 3 var5;))) (ite (and (>= var4; var3;) (>= var3; var5;)) (+ var5; (+ (* 2 var3;) (* 3 var4;))) (ite (and (>= var4; var5;) (>= var5; var3;)) (+ var3; (+ (* 2 var5;) (* 3 var4;))) (ite (and (>= var5; var4;) (>= var4; var3;)) (+ var3; (+ (* 2 var4;) (* 3 var5;))) (+ var4; (+ (* 2 var5;) (* 3 var3;)))))))) (ite (let ((_let_1 (>= (+ a1 (* (- 1) a2)) 0))) (or (and (not _let_1) (>= (+ x1 (* (- 1) x2)) 0)) (and _let_1 (= x2 x3) (= x1 x3)))) (+ var3; (+ (* 2 var4;) (* 3 var5;)))  (+ var4; (+ (* 2 var3;) (* 3 var5;))))),2693
src\main\resources\OtherMIBenchmarks\large.sl,true,0,(ite (>= x y) y x),18
src\main\resources\OtherMIBenchmarks\large_linear_func.sl,true,0,(ite (>= x y) (dfunc y) (dfunc x)),34
src\main\resources\OtherMIBenchmarks\multiDistinct.sl,true,3,(ite (let ((_let_1 (* (- 1) x4))) (let ((_let_2 (+ x1 _let_1))) (let ((_let_3 (ite (>= _let_2 0) 2 1))) (let ((_let_4 (>= (+ a1 (* (- 1) a2)) 0))) (let ((_let_5 (>= (+ a1 (* (- 1) a3)) 0))) (or (and _let_4 (or (and _let_5 (or (= x1 x2) (not (= _let_3 (ite (>= (+ x2 _let_1) 0) 2 1))))) (and (not _let_5) (or (= x1 x3) (not (= _let_3 (ite (>= (+ x3 _let_1) 0) 2 1))))))) (and (not _let_4) (or (= x1 x4) (not (= _let_3 (ite (>= _let_2 1) 1 2))))))))))) (ite (>= var4; var7;) (+ 1 1) (+ 1 0)) (ite (let ((_let_1 (* (- 1) x3))) (let ((_let_2 (+ x1 _let_1))) (let ((_let_3 (ite (>= _let_2 0) 1 2))) (let ((_let_4 (>= (+ a1 (* (- 1) a2)) 0))) (let ((_let_5 (>= (+ a1 (* (- 1) a3)) 0))) (or (and _let_4 (or (and _let_5 (or (= x1 x2) (not (= _let_3 (ite (>= (+ x2 _let_1) 0) 1 2))))) (and (not _let_5) (or (= x1 x3) (not (= _let_3 (ite (>= _let_2 1) 2 1))))))) (and (not _let_4) (or (= x1 x4) (not (= _let_3 (ite (>= (+ x3 (* (- 1) x4)) 1) 2 1))))))))))) (ite (>= var4; var6;) (+ 1 0) (+ 1 1))  (ite (>= var4; var5;) 1 (+ 1 1)))),1021
src\main\resources\OtherMIBenchmarks\simpleDistinct.sl,true,1,(ite (>= x1 x2) x3 (+ x3 8)),28
src\main\resources\OtherMIBenchmarks\small.sl,true,0,(ite (>= x y) x y),18
src\main\resources\OtherMIBenchmarks\smallOrLarge.sl,true,0,(ite (let ((_let_1 (+ x1 (* (- 1) x2)))) (let ((_let_2 (>= _let_1 1))) (let ((_let_3 (not _let_2))) (let ((_let_4 (>= _let_1 0))) (let ((_let_5 (>= (+ a1 (* (- 1) a2)) 0))) (and (= (ite _let_4 x1 x2) (ite _let_2 x1 x2)) (or (and _let_4 _let_5 _let_3) (and (not _let_5) (or _let_4 _let_3))))))))) (ite (>= var3; var4;) var3; var4;)  (ite (>= var3; var4;) var4; var3;)),367
src\main\resources\OtherMIBenchmarks\small_linear_func.sl,true,0,(ite (>= x y) (dfunc x) (dfunc y)),34
